"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Hanoi","crseag1","Crested Serpent-Eagle","Spilornis cheela","species","7","3","180"
"Hanoi","sccbab1","Scaly-crowned Babbler","Malacopteron cinereum","species","7","6","180"
"Hanoi","reblei","Red-billed Leiothrix","Leiothrix lutea","species","7","3","20"
"Hanoi","lasbab1","Large Scimitar-Babbler","Megapomatorhinus hypoleucos","species","7","4","180"
"Hanoi","whbpig1","White-bellied Green-Pigeon","Treron sieboldii","species","7","3","20"
"Hanoi","lessho1","Lesser Shortwing","Brachypteryx leucophris","species","7","3","20"
"Hanoi","pursun4","Purple Sunbird","Cinnyris asiaticus","species","7","3","60"
"Hanoi","brbfly2","Brown-breasted Flycatcher","Muscicapa muttui","species","7","3","60"
"Hanoi","lrtdro1","Lesser Racket-tailed Drongo","Dicrurus remifer","species","7","7","180"
"Hanoi","slbfly2","Slaty-blue Flycatcher","Ficedula tricolor","species","7","7","180"
"Hanoi","earpit1","Eared Pitta","Hydrornis phayrei","species","7","7","180"
"Hanoi","yevflo1","Yellow-vented Flowerpecker","Dicaeum chrysorrheum","species","7","7","180"
"Hanoi","yevpig1","Yellow-vented Green-Pigeon","Treron seimundi","species","7","7","180"
"Hanoi","mosowl2","Mountain Scops-Owl","Otus spilocephalus","species","7","7","180"
"Hanoi","mouhae1","Mountain Hawk-Eagle","Nisaetus nipalensis","species","7","7","180"
"Hanoi","scathr8","Scaly Thrush","Zoothera dauma","species","7","3","20"
"Hanoi","blwmin1","Blue-winged Minla","Actinodura cyanouroptera","species","7","3","60"
"Hanoi","gybpri1","Gray-breasted Prinia","Prinia hodgsonii","species","7","3","20"
"Hanoi","vibsta3","Vinous-breasted Starling","Acridotheres burmannicus","species","7","3","20"
"Hanoi","rosmin1","Rosy Minivet","Pericrocotus roseus","species","7","3","20"
"Hanoi","labcro1","Large-billed Crow","Corvus macrorhynchos","species","7","3","20"
"Hanoi","bbbeat1","Blue-bearded Bee-eater","Nyctyornis athertoni","species","7","3","20"
"Hanoi","grewar2","Two-barred Warbler","Phylloscopus plumbeitarsus","species","8","4","60"
"Hanoi","chifra1","Chinese Francolin","Francolinus pintadeanus","species","7","3","60"
"Hanoi","spobuw1","Baikal Bush Warbler","Locustella davidi","species","7","3","60"
